time,data
771,19.116
772,19.18
776,18.29
777,18.17
778,18.105
779,17.885
782,17.616
783,17.1
784,16.985
785,16.735
786,16.22
789,15.875
790,15.956
791,16.121
792,15.565
793,15.315
796,15.175
797,15.925
798,16.87
799,17.01
800,16.815
803,16.535
804,16.612
805,16.995
806,17.256
807,17.19
810,17.85
811,17.985
812,17.93
813,18.5
814,18.337
817,17.61
818,18.1
819,18.77
820,19.395
821,18.94
824,18.65
825,18.76
826,19.08
827,19.561
831,19.64
832,19.396
833,19.02
834,19.46
835,19.443
838,18.75
839,18.78
840,18.771
841,18.92
842,20.366
845,20.475
846,20.09
847,20.18
848,20.43
849,20.215
852,20.28
853,19.965
854,19.925
855,19.64
856,19.44
859,19.26
860,19.701
861,19.837
862,19.945
863,20.175
866,20.48
867,20.41
868,20.395
869,19.98
870,19.84
874,19.94
875,20.19
876,20.385
877,20.725
880,21.2
881,21.38
882,21.52
883,21.8
884,22.05
887,22.015
888,22.07
889,22.36
890,22.71
891,23.115
894,23.326
895,23.46
896,23.59
897,23.561
898,24.055
901,23.616
902,23.36
903,23.46
904,23.61
905,23.46
908,23.73
909,23.87
910,24.045
911,23.565
915,23.205
916,22.805
917,22.435
918,22.545
919,22.29
922,22.826
923,23.155
924,23.936
925,24.186
926,24.345
929,24.485
930,24.76
931,24.75
932,25.245
933,23.53
936,23.275
937,23.23
938,23.765
939,24.005
940,23.645
943,23.825
944,23.725
945,23.825
946,23.695
947,23.655
950,23.44
951,23.225
952,23.33
953,23.625
954,23.656
957,23.285
958,23.435
959,23.45
960,23.635
961,24.17
964,24.525
965,24.62
966,24.57
967,24.55
968,24.875
971,24.61
972,24.175
973,23.84
974,24.01
975,24.355
979,24.72
980,24.76
981,24.9
982,24.895
985,24.825
986,25.085
987,25.225
988,25.18
989,25.36
992,25.205
993,25.585
994,25.815
995,25.93
996,25.62
999,25.715
1000,25.83
1001,25.741
1002,25.143
1003,24.708
1006,24.811
1007,24.895
1008,25.045
1009,25.555
1010,25.561
1013,25.69
1014,25.7
1015,26.05
1016,26.305
1017,26.475
1020,26.425
1021,26.396
1022,26.52
1023,26.575
1024,28.61
1027,28.403
1028,28.66
1029,28.13
1030,28.145
1031,27.881
1034,27.79
1035,27.585
1036,27.875
1037,28.495
1038,28.45
1041,28.805
1042,28.955
1043,29.1
1044,29.186
1045,29.55
1048,29.575
1049,29.75
1050,30.055
1051,29.885
1052,29.64
1055,29.89
1056,29.93
1057,29.8
1059,29.165
1062,29.28
1063,29.765
1064,29.84
1065,29.835
1066,30.015
1069,29.785
1070,29.545
1071,29.59
1072,29.79
1073,29.91
1076,30.01
1077,29.955
1078,30.085
1079,29.775
1080,30.1
1083,30.46
1084,30.71
1085,30.815
1086,30.94
1090,31.085
1091,31.37
1092,31.055
1093,30.73
1097,30.785
1098,30.905
1099,30.825
1100,30.541
1101,30.47
1104,30.491
1105,30.11
1106,30.305
1107,30.635
1108,30.97
1112,30.925
